13,上海祉云医疗科技有限公司,Python开发工程师,"五险一金,绩效奖金,发展空间大,带薪年假,扁平管理,岗位晋升,技能培训,节日礼物,管理规范","上海-浦东新区,2年经验,本科,招若干人,03-18发布",1. 负责Web后端服务器的软件研发工作;2. 负责软件架构设计，编码实现，并进行单元测试，提高代码质量;3. 编写软件设计文档和接口说明文档。待遇可面议！任职要求：1. 计算机，相关专业本科及以上学历， 两年以上Python后端开发编程经验。2. 熟练掌握Python语言语法基础。3. 熟悉Flask或Django等Web开发框架。4. 熟悉MySQL数据库。5. 思路清晰，热爱编程，良好学习能力和沟通技能，团队合作精神和创新意识，对服务器简单部署有一定了解更优。,金科路2889号C座12楼
14,上海乐言信息科技有限公司,Python工程师,"年度旅游,公司氛围好,免费零食,五险一金,补充医疗保险,员工旅游,弹性工作,交通补贴","上海-长宁区,3-4年经验,本科,招2人,03-18发布","●岗位职责：1. 负责完成公司产品功能的研发任务2. 独立完成快速迭代与交付。●任职资格：1. 计算机相关专业，3年以上python 开发经验（***有flask使用经验）2. 熟练掌握MySQL，Redis，Elasticsearch, Kafka 等常用组件3. 有一定编程技巧，习惯写测试4. 有独立开发／debug 的能力5. 良好与人沟通的能力。●任职资格：加分项：1. 熟悉前端开发，有react开发能力甚佳2. 有成熟设计rest api 的能力。",中山公园
15,字节跳动,高级Python开发工程师 (职位编号：24514),"六险一金,弹性工作,免费三餐,租房补贴,带薪休假,休闲下午茶,扁平管理,过亿用户,职业大牛,晋升空间","上海,3-4年经验,本科,招15人,03-18发布",,宜山路1999号科技绿洲三期24号楼
16,医药魔方,Python工程师,"五险一金,员工旅游,专业培训,定期体检,年终奖金","北京-朝阳区,无需经验,硕士,招若干人,03-18发布",1、负责文本分类、语义理解、情感分析等NLP任务的研发工作；2、负责NLP算法系统的开发和优化。岗位要求：????1、国内外知名学校的硕士研究生及以上学历；具有计算机、电子、数学等相关专业背景? ?2、具备良好的编码能力，数据结构和算法功底；? ?3、熟悉Linux开发环境，熟练掌握Python等编程语言；? ?4、熟悉restful风格接口规范? ?5、熟悉NLP方向的理论及常用工具，有深度学习相关NLP项目经验的优先,阜通东大街方恒国际中心A2108
17,上海伦伟实业有限公司,Python开发工程师,"五险一金,员工旅游,专业培训,周末双休,带薪年假,节日福利,绩效奖金","上海,2年经验,本科,招3人,03-18发布",任职资格：1、?大学本科或以上，计算机相关专业毕业；2、?熟练掌握面向对象的思想，熟悉Python、JAVA等语言，熟悉Linux操作系统，具有2年及以上相关开发经验;3、?有过软件集成开发或二开经验者优先录用;4、?熟悉各种通信协议和消息传输协议；5、?具有软件系统需求分析和概要设计能力；6、?性格开朗，善于沟通，表达能力要好需要跟其他部门人员沟通。,上海市怒江北路449弄9号B区8栋
18,上海坤雷实业有限公司,python开发,"五险一金,绩效奖金,年终奖金,定期体检,周末双休,不加班","上海-徐汇区,在校生/应届生,大专,招5人,03-18发布",1、大专及以上学历2、熟悉使用python。3、了解Flask或Django等Python web开发框架，能独立搭建nginx+uwsgi服务器。4、熟悉掌握数据库技术，包括但不限于Mysql、Redis、MongoDB。5、熟悉前端HTML，能调用已有的前端框架构建模块。6、熟悉Linux，WebServer的部署。7、有基本的爬虫能力。8、有良好的自学分析问题能力。,徐家汇
19,上海企源科技股份有限公司,Python开发工程师（通用汽车）,"周末双休,绩效奖金,五险一金,免费班车,弹性工作","上海-浦东新区,2年经验,本科,招若干人,03-18发布",【岗位职责】1、负责后端功能的开发、性能优化和单元测试2、与通用汽车美国团队共同工作，参与无人驾驶和驾驶辅助系统的开发。3、负责后端相关文档编写4、参与后端的需求和设计讨论【任职要求】1、全日制本科及以上学历，计算机或相关专业2、熟悉Python，编程功底扎实3、熟悉Linux开发环境，熟悉Redis及Mysql等数据库4、具备较强的开发能力、学习能力加分项：对于算法有一定的了解。,金皖路
20,创业伞投资有限公司,Python爬虫工程师,"五险一金,员工旅游,绩效奖金","上海-杨浦区,3-4年经验,大专,招5人,03-18发布",,鞍山路5号杨浦大厦
21,上海柯林布瑞信息技术有限公司,初级python/R 工程师,"五险一金,餐饮补贴,绩效奖金,年终奖金,员工旅游,周末双休,做五休二,弹性工作","上海-徐汇区,在校生/应届生,本科,招1人,03-18发布",1.解决信息抽取问题2.结合自然语言处理、机器学习等方法解决实际业务问题任职要求：1.熟练使用Python或R，熟悉sql数据库2.熟悉正则匹配其他简介：团队成员多为90后，关系融洽。此岗位工作内容比较基础，面向毕业不久的新人，未来方向为自然语言处理或数据挖掘。由于项目多，工作场所不固定，望能有吃苦耐劳精神。,徐汇区宜山路700号B2栋1504单元（上海普天信息产业园）
22,申朴信息技术（上海）股份有限公司,Python开发工程师,"五险一金,弹性工作,年终奖金,周末双休,高温补贴,节日福利","上海-浦东新区,3-4年经验,本科,招2人,03-18发布","1、负责公司相关软件产品的网络部分功能开发与维护；2、负责相关文档的编写。职位要求：1、本科以上学历，3年以上大型在线服务相关开发经验；2、精通Python，熟悉Django、Flask、Bottle、Tornado等常见的Python web架构，至少精通其中一种;3、精通PostgreSQL数据库并有优化经验，熟悉MySql、MongoDB、Redis、Memcache等，至少一种常用数据库；4、熟悉JavaScript, Html, CSS。5、具备良好的代码编程习惯及较好的文档编写能力；",华虹创新园
23,上海萌果信息科技有限公司,Python/PHP后端程序员,"五险一金,餐饮补贴,弹性工作,绩效奖金,年终奖金,定期体检","上海-徐汇区,3-4年经验,大专,招若干人,03-18发布",1.负责游戏服务器及oss后台维护，定位线上问题并处理；2.游戏服务器版本管理；3.了解服务器架构和运行机制，在上级研发人员指导和辅助下定位线上问题并处理；4.oss后台版本管理；5.了解oss后台运行机制。任职要求：1.具有极强的团队协作能力，沟通能力，解决问题能力强。2.熟悉python语言和php语言。3.熟悉mysql，redis。4.熟悉linux操作系统管理，熟练编写bash脚本。5.具备一定的程序员素养，对常用算法有一定了解。,上海市徐汇区虹漕路39号华鑫科技园D7幢1-2F
24,上海世沃信息科技有限公司,Python开发工程师,"五险一金,年终奖金,员工旅游","上海-徐汇区,2年经验,招1人,03-18发布","1、精通Python/HTML,熟悉各种数据结构和算法；2、具有网络通信原理及网页移动端构建相关经验；3、熟悉TensorFlow/Keras等人工智能深度学习库；4、协助测试工程师制定测试计划，定位发现的问题；5、配合项目经理完成相关任务目标。6、可以出差。7、本科以上学历，二年以上工作经验。岗位要求：1、计算机或相关专业本科以上学历，2年以上工作经验。2、有严谨的工作态度，有责任心和不断学习的精神，能够在一定的压力下工作。",上海市徐汇区田州路99号9号楼（新茂大厦）
25,国动网络技术有限公司,软件开发工程师（GO/Lua/python）,"五险一金,绩效奖金,年终奖金,周末双休,团队聚餐,包吃","上海-静安区,3-4年经验,本科,招1人,03-18发布",2、熟悉Mysql/PostgreSQL/sqlserver/oracle/Sybase等数据库（只需用过其中1种）；3、熟悉Redis等缓存系统；熟悉至少一种脚本语言，有完成项目经验；,招商局广场
26,上海企通数字科技有限公司,Python/Odoo高级开发工程师,"五险一金,员工旅游,交通补贴,通讯补贴,专业培训,出国机会,绩效奖金,年终奖金","上海,3-4年经验,大专,招1人,03-18发布",,浦东南路2250号滨江2250创智B座408室
27,深圳市紫川软件有限公司,Python开发工程师,,"上海-浦东新区,2年经验,大专,招若干人,03-18发布",熟悉Python开发技能，数学能力出色优先，能基于算法编程，有团队合作精神，有抗压能力,浦东新区2号线张江高科
28,上海财联社金融科技有限公司,Python开发工程师,"做五休二,周末双休,五险一金,餐饮补贴,年终奖金","上海,1年经验,本科,招2人,03-18发布",基本要求:?1.?有Python开发经验；?2.?计算机本科及以上学历，2年以上工作经验；?3.?熟悉Unix/Linux系统；?4.?熟悉常用数据结构和算法；?5.?熟悉MySQL、mongodb数据库；?6.?熟悉Redis及常用队列中间件，有相关实践经验；?7.?善于学习新技术并应用于实践；,上海市徐汇区虹桥路3号港汇中心二座16楼
29,上海思华科技股份有限公司,Python 开发工程师,"五险一金,补充医疗保险,餐饮补贴,弹性工作,定期体检,年终奖金","上海-浦东新区,2年经验,本科,招2人,03-18发布",岗位职责：开发基于B/S架构的应用软件；任职要求：1. 掌握Python语法；2. 熟练使用Django，Flask和Tornado等网络框架3. 了解常用的ORM库，例如SQLAlchemy4. 有 Vue.js/JQuery等前端开发经验者优先5. 本科及以上学历，计算机、软件工程、信息管理、计算机应用等理、工专业；,博云路22号
30,上海软科教育信息咨询有限公司,Python数据分析师,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金,定期体检,办公室零食,豪华团建,餐饮补贴","上海-闵行区,1年经验,本科,招2人,03-18发布",岗位职责：1、高校数据库的管理与维护；2、高校数据的分析；3、协助开发各类数据平台；4、数据清洗与入库；5、完成上级安排的其他工作。岗位要求：1、全日制本科以上学历，计算机相关专业，1年以上相关工作经验；2、熟悉python，全面掌握python的基本语法，基本数据结构，常用library，熟悉numpy，pandas的基本用法和功能，了解Python自然语言处理；3、熟练掌握MySQL；4、有一定的数理统计基础，热爱和数据打交道；5、认同创业文化，事业心强。,上海市闵行区剑川路955号康博科创大厦9楼
31,深圳市腾讯计算机系统有限公司,25923-Python高级工程师（深圳） (职位编号：46007),,"上海-黄浦区,3-4年经验,本科,招1人,03-18发布,英语熟练",,
32,上海穗农信息科技股份有限公司,python工程师,"五险一金,员工旅游,餐饮补贴,年终奖金,弹性工作","上海-松江区,3-4年经验,本科,招5人,03-18发布",1. 精通Python编程语言，1-3年python开发经验；2、熟悉 RESTful 服务，深刻理解 MVC、OOP、AOP 等概念 了解微服务架构理念以及实现技术；3、熟练使用关系、文档性数据库. 熟悉PostgreSQL或MYSQL等常见关系型数据库，掌握关系数据库的表设计、调优；4、熟悉缓存、消息队列、定时任务等相关技术；?5、能独立分析问题 善于研究业务 分析产品；?6、为人踏实 善良正直 热爱学习技术 长期关注技术的发展趋势；,乐都路251号乐都大厦17楼
33,上海印立教育科技有限公司,课程开发--Scratch/Python,"五险一金,绩效奖金,弹性工作,员工旅游,周末双休,补充医疗保险,年终奖金,定期体检","上海-嘉定区,1年经验,大专,招1人,03-18发布",岗位要求：,嘉定区澄浏路52号45号楼302（盛创企业家园）
34,上海汉图科技有限公司,Python开发,"五险一金,补充医疗保险,补充公积金,免费班车,交通补贴,股票期权,年终奖金,弹性工作,定期体检,餐饮补贴","上海-浦东新区,3-4年经验,本科,招若干人,03-18发布",岗位职责：????????????????????????????????????????岗位要求：,盛荣路88弄盛大源创谷1号楼
35,上海媒智科技有限公司,Python 后台开发工程师,"五险一金,餐饮补贴,年终奖金,弹性工作,股票期权,定期体检,绩效奖金","上海-徐汇区,3-4年经验,本科,招1人,03-17发布",工作职责：1、负责公司AI产品后台开发工作，主要编程语言是 Python、C++ 和 Go；2、参与架构设计，与平台工程师合作优化新旧服务的性能和稳定性。任职资格：加分项：,乐山路33号上海交通大学国家大学科技园1号楼206室
36,尤盛信息技术（上海）有限公司,Python高级开发工程师,"五险一金,定期体检,节日礼物,带薪年假,团队拓展","上海-浦东新区,3-4年经验,本科,招1人,03-17发布,英语熟练,计算机科学与技术 计算机科学",1.应用NLP技术分析处理海量用户文本数据2.对资讯内容的特征提取、语义理解、详情提取、摘要提取等算法研究及实现3.构建机器学习模型区分用户行为，进行个性化推荐任职要求：计算机或相关专业，具有一年以上自然语言处理相关的工作经验熟悉python及相关机器学习工具熟悉常见sql/nosql数据库，以及全文检索技术精通统计语言模型和相关机器学***算法熟练掌握自然语言处理的算法和技术，具有分词、新词发现、实体词抽取、文本分类、舆情分析等相关的项目经验熟悉hadoop、spark等分布式平台,盛夏路169弄日月光集团A栋202室
