trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20190628,235,601698.SH,3.26,3.92,3.26,3.92,2.72,1.2,44.1176,2365.95,923.426
20190701,234,601698.SH,4.31,4.31,4.31,4.31,3.92,0.39,9.949,1708.67,736.437
20190702,233,601698.SH,4.74,4.74,4.74,4.74,4.31,0.43,9.9768,1621.36,768.525
20190703,232,601698.SH,5.21,5.21,5.21,5.21,4.74,0.47,9.9156,4041.48,2105.611
20190704,231,601698.SH,5.73,5.73,5.73,5.73,5.21,0.52,9.9808,5531.25,3169.406
20190705,230,601698.SH,6.3,6.3,6.3,6.3,5.73,0.57,9.9476,9100.03,5733.019
20190708,229,601698.SH,6.93,6.93,6.93,6.93,6.3,0.63,10.0,14361.96,9952.838
20190709,228,601698.SH,7.62,7.62,7.62,7.62,6.93,0.69,9.9567,18030.02,13738.875
20190710,227,601698.SH,8.38,8.38,8.38,8.38,7.62,0.76,9.9738,17626.84,14771.292
20190711,226,601698.SH,9.22,9.22,9.22,9.22,8.38,0.84,10.0239,10865.5,10017.991
20190712,225,601698.SH,10.14,10.14,10.14,10.14,9.22,0.92,9.9783,219118.64,222186.301
20190715,224,601698.SH,11.0,11.15,10.75,11.15,10.14,1.01,9.9606,1354312.7,1494044.635
20190716,223,601698.SH,12.27,12.27,11.9,12.27,11.15,1.12,10.0448,961277.22,1173472.024
20190717,222,601698.SH,12.88,13.12,11.65,11.73,12.27,-0.54,-4.401,2602396.93,3193670.937
20190718,221,601698.SH,11.64,12.9,11.46,12.9,11.73,1.17,9.9744,2579025.15,3191154.134
20190719,220,601698.SH,12.2,12.62,12.03,12.36,12.9,-0.54,-4.186,1699501.72,2092081.913
20190722,219,601698.SH,12.35,12.63,11.12,11.14,12.36,-1.22,-9.8706,1546946.89,1802352.693
20190723,218,601698.SH,10.83,10.94,10.38,10.81,11.14,-0.33,-2.9623,1308838.2,1396333.296
20190724,217,601698.SH,10.65,11.37,10.61,11.1,10.81,0.29,2.6827,1331897.55,1469489.108
20190725,216,601698.SH,10.97,11.02,10.6,10.73,11.1,-0.37,-3.3333,995115.48,1070710.0
20190726,215,601698.SH,10.53,10.95,10.52,10.56,10.73,-0.17,-1.5843,792891.0,848776.615
20190729,214,601698.SH,10.66,10.82,10.53,10.75,10.56,0.19,1.7992,580064.57,618971.018
20190730,213,601698.SH,10.66,10.89,10.59,10.69,10.75,-0.06,-0.5581,688925.29,739755.496
20190731,212,601698.SH,10.62,10.98,10.26,10.89,10.69,0.2,1.8709,1106883.66,1179424.184
20190801,211,601698.SH,10.72,10.81,10.46,10.58,10.89,-0.31,-2.8466,692950.03,737049.286
20190802,210,601698.SH,10.2,10.87,10.08,10.67,10.58,0.09,0.8507,986944.27,1037765.591
20190805,209,601698.SH,10.5,10.88,10.45,10.59,10.67,-0.08,-0.7498,702364.52,750692.489
20190806,208,601698.SH,10.28,11.57,10.21,11.11,10.59,0.52,4.9103,1355588.34,1478348.75
20190807,207,601698.SH,11.0,11.1,10.39,10.45,11.11,-0.66,-5.9406,913285.33,984534.195
20190808,206,601698.SH,10.34,10.74,10.34,10.48,10.45,0.03,0.2871,661767.3,695033.36
20190809,205,601698.SH,10.51,10.55,9.55,9.67,10.48,-0.81,-7.729,900681.58,905407.728
20190812,204,601698.SH,9.59,9.61,9.26,9.57,9.67,-0.1,-1.0341,495833.03,468282.307
20190813,203,601698.SH,9.39,9.64,9.35,9.41,9.57,-0.16,-1.6719,364214.63,344171.456
20190814,202,601698.SH,9.56,9.56,9.34,9.35,9.41,-0.06,-0.6376,367051.26,346576.939
20190815,201,601698.SH,9.0,9.59,8.9,9.37,9.35,0.02,0.2139,571650.55,531407.244
20190816,200,601698.SH,9.31,9.55,9.3,9.38,9.37,0.01,0.1067,443902.77,418569.091
20190819,199,601698.SH,9.43,9.78,9.35,9.68,9.38,0.3,3.1983,622673.81,594847.853
20190820,198,601698.SH,9.62,9.94,9.51,9.52,9.68,-0.16,-1.6529,639705.95,619919.504
20190821,197,601698.SH,9.34,9.69,9.23,9.44,9.52,-0.08,-0.8403,472277.92,446970.644
20190822,196,601698.SH,9.43,9.63,9.35,9.53,9.44,0.09,0.9534,429586.54,408078.376
20190823,195,601698.SH,9.44,9.58,9.26,9.28,9.53,-0.25,-2.6233,396477.51,372078.566
20190826,194,601698.SH,9.02,9.27,9.0,9.23,9.28,-0.05,-0.5388,243379.6,223174.048
20190827,193,601698.SH,9.35,9.95,9.25,9.77,9.23,0.54,5.8505,837263.06,809969.296
20190828,192,601698.SH,9.63,10.75,9.62,10.75,9.77,0.98,10.0307,820310.69,845407.472
20190829,191,601698.SH,10.99,11.55,10.75,10.79,10.75,0.04,0.3721,1661400.89,1847851.359
20190830,190,601698.SH,10.66,11.87,10.66,11.87,10.79,1.08,10.0093,1157381.67,1338199.577
20190902,189,601698.SH,12.77,13.06,12.51,13.06,11.87,1.19,10.0253,932158.93,1198076.067
20190903,188,601698.SH,14.0,14.37,13.11,14.37,13.06,1.31,10.0306,2353759.08,3288041.942
20190904,187,601698.SH,13.84,14.11,13.12,13.53,14.37,-0.84,-5.8455,1581432.08,2156905.877
20190905,186,601698.SH,13.6,14.88,13.36,14.7,13.53,1.17,8.6475,1961103.7,2843677.979
